id,name,atar,hons,prof_prac,combined,location,fee
09019,Bachelor of Science (Honours) in Information Technology,,1,0,0,"Ultimo, Sydney",
09119,Bachelor of Computing Science (Honours),80,1,0,0,City campus,
10143,Bachelor of Information Technology,,0,0,0,"Ultimo, Sydney",
10148,Bachelor of Science in Information Technology,,0,0,0,"Ultimo, Sydney",
10219,Bachelor of Business Bachelor of Science in Information Technology,83.1,0,0,1,"Ultimo, Sydney",
10229,Bachelor of Science in Games Development,85.05,0,0,0,"Ultimo, Sydney",
10239,Bachelor of Science in Information Technology Bachelor of Arts in International Studies,80.4,0,0,1,"Ultimo, Sydney",
10245,Bachelor of Science in Information Technology Bachelor of Laws,97.5,0,0,1,"Ultimo, Sydney",
10327,Bachelor of Science in Information Technology Bachelor of Creative Intelligence and Innovation,80.75,0,0,1,"Ultimo, Sydney",
10345,Bachelor of Science in Information Technology Diploma in Information Technology Professional Practice,,0,1,0,"Ultimo, Sydney",
04295,Master of Information Technology,,0,0,0,"Ultimo, Sydney",
11142,Graduate Certificate in Information Technology,,0,0,0,"Ultimo, Sydney",
04296,Master of Information Technology (Extension),,0,0,0,"Ultimo, Sydney",
04297,Master of Information Technology (Advanced),,0,0,0,"Ultimo, Sydney",
11247,Graduate Certificate in Information Technology Studies,,0,0,0,"Ultimo, Sydney",
04160,Master of Science in Internetworking,,0,0,0,"Ultimo, Sydney",
11145,Graduate Certificate in Internetworking,,0,0,0,"Ultimo, Sydney",
04224,Master of Science in Internetworking (Extension),,0,0,0,"Ultimo, Sydney",
04271,Master  of Engineering,,0,1,0,"Ultimo, Sydney",
04272,Master  of Environmental Engineering Management,,0,1,0,"Ultimo, Sydney",
04273,Master of Engineering Master of Engineering Management,,0,1,1,"Ultimo, Sydney",
04274,Master of Engineering Management Master of Business Administration,,0,1,1,"Ultimo, Sydney",
04275,Master of Engineering Management,,0,0,0,"Ultimo, Sydney",
04277,Master of Engineering (Extension),,0,1,0,"Ultimo, Sydney",
04278,Master of Engineering (Advanced),,0,1,0,"Ultimo, Sydney",
04283,Master of Engineering Management,,0,0,0,"Ultimo, Sydney",
04309,Master of Professional Engineering,,0,0,0,"Ultimo, Sydney",
04310,Master of Engineering Management,,0,0,0,"Ultimo, Sydney",
06108,Graduate Diploma in Engineering,,0,0,0,"Ultimo, Sydney",
06109,Graduate Diploma in Environmental Engineering Management,,0,0,0,"Ultimo, Sydney",
06110,Graduate Diploma in Engineering Management,,0,0,0,"Ultimo, Sydney",
11236,Graduate Certificate in Engineering,,0,1,0,"Ultimo, Sydney",
11237,Graduate Certificate in Environmental Engineering Management,,0,1,0,"Ultimo, Sydney",
11238,Graduate Certificate in Engineering Studies,,0,0,0,"Ultimo, Sydney",
11239,Graduate Certificate in Engineering Management,,0,1,0,"Ultimo, Sydney",
11266,Graduate Certificate in Engineering Management,,0,1,0,"Shanghai, China",
